[03.11.2024 10:00:30] Chatters_offline: wpatkabot (0/1)
[03.11.2024 10:01:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:02:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:03:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:04:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:05:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:06:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:07:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:08:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:09:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:10:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot,rorcia (0/10)
[03.11.2024 10:11:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot,rorcia (0/10)
[03.11.2024 10:12:30] Chatters_offline: tost1928,moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot,rorcia (0/11)
[03.11.2024 10:13:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot,rorcia (0/10)
[03.11.2024 10:14:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot,rorcia (0/10)
[03.11.2024 10:15:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot,rorcia (0/10)
[03.11.2024 10:16:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:17:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:18:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:19:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:20:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:21:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:22:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:23:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:24:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:25:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:26:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:27:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:28:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:29:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:29:43] michal265a: !resetwelcomed
[03.11.2024 10:30:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,michal265a,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/10)
[03.11.2024 10:31:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,michal265a,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/10)
[03.11.2024 10:32:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:33:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:34:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
[03.11.2024 10:35:30] Chatters_offline: moobot,streamelements,narobany587,tangiabot,nightbot,wpatka,pokemoncommunitygame,zymaaha1,wpatkabot (0/9)
